workerid,map,praise,trial
63,images/gen_models/gen_models.032.png,60,32
63,images/gen_models/gen_models.039.png,71,39
63,images/gen_models/gen_models.047.png,29,47
63,images/gen_models/gen_models.051.png,31,51
63,images/gen_models/gen_models.040.png,55,40
63,images/gen_models/gen_models.045.png,94,45
63,images/gen_models/gen_models.024.png,85,24
63,images/gen_models/gen_models.030.png,56,30
63,images/gen_models/gen_models.048.png,59,48
63,images/gen_models/gen_models.004.png,29,4
63,images/gen_models/gen_models.010.png,53,10
63,images/gen_models/gen_models.001.png,73,1
86,images/gen_models/gen_models.007.png,13,7
86,images/gen_models/gen_models.046.png,5,46
86,images/gen_models/gen_models.027.png,68,27
86,images/gen_models/gen_models.032.png,80,32
86,images/gen_models/gen_models.014.png,87,14
86,images/gen_models/gen_models.044.png,6,44
86,images/gen_models/gen_models.005.png,5,5
86,images/gen_models/gen_models.047.png,4,47
86,images/gen_models/gen_models.026.png,5,26
86,images/gen_models/gen_models.003.png,7,3
86,images/gen_models/gen_models.015.png,11,15
86,images/gen_models/gen_models.024.png,5,24
86,images/gen_models/gen_models.045.png,96,45
86,images/gen_models/gen_models.002.png,4,2
86,images/gen_models/gen_models.031.png,86,31
86,images/gen_models/gen_models.023.png,5,23
86,images/gen_models/gen_models.001.png,3,1
86,images/gen_models/gen_models.020.png,87,20
86,images/gen_models/gen_models.013.png,68,13
86,images/gen_models/gen_models.016.png,3,16
86,images/gen_models/gen_models.033.png,10,33
86,images/gen_models/gen_models.049.png,11,49
86,images/gen_models/gen_models.008.png,70,8
86,images/gen_models/gen_models.029.png,11,29
86,images/gen_models/gen_models.053.png,7,53
86,images/gen_models/gen_models.010.png,9,10
86,images/gen_models/gen_models.048.png,6,48
86,images/gen_models/gen_models.051.png,9,51
86,images/gen_models/gen_models.011.png,11,11
86,images/gen_models/gen_models.041.png,84,41
86,images/gen_models/gen_models.043.png,95,43
86,images/gen_models/gen_models.042.png,9,42
86,images/gen_models/gen_models.030.png,6,30
86,images/gen_models/gen_models.009.png,4,9
86,images/gen_models/gen_models.035.png,89,35
86,images/gen_models/gen_models.025.png,95,25
86,images/gen_models/gen_models.012.png,6,12
86,images/gen_models/gen_models.052.png,10,52
86,images/gen_models/gen_models.028.png,10,28
86,images/gen_models/gen_models.004.png,7,4
86,images/gen_models/gen_models.034.png,12,34
86,images/gen_models/gen_models.039.png,7,39
86,images/gen_models/gen_models.040.png,14,40
86,images/gen_models/gen_models.054.png,8,54
86,images/gen_models/gen_models.019.png,10,19
86,images/gen_models/gen_models.036.png,86,36
86,images/gen_models/gen_models.006.png,12,6
86,images/gen_models/gen_models.050.png,6,50
71,images/gen_models/gen_models.001.png,76,1
71,images/gen_models/gen_models.043.png,88,43
71,images/gen_models/gen_models.041.png,42,41
71,images/gen_models/gen_models.039.png,35,39
71,images/gen_models/gen_models.050.png,40,50
71,images/gen_models/gen_models.049.png,40,49
71,images/gen_models/gen_models.053.png,67,53
71,images/gen_models/gen_models.044.png,20,44
71,images/gen_models/gen_models.009.png,52,9
71,images/gen_models/gen_models.030.png,43,30
71,images/gen_models/gen_models.025.png,99,25
71,images/gen_models/gen_models.028.png,55,28
71,images/gen_models/gen_models.052.png,50,52
71,images/gen_models/gen_models.013.png,10,13
71,images/gen_models/gen_models.026.png,41,26
71,images/gen_models/gen_models.036.png,52,36
71,images/gen_models/gen_models.048.png,54,48
71,images/gen_models/gen_models.007.png,85,7
71,images/gen_models/gen_models.040.png,63,40
71,images/gen_models/gen_models.047.png,51,47
71,images/gen_models/gen_models.046.png,29,46
71,images/gen_models/gen_models.008.png,29,8
71,images/gen_models/gen_models.020.png,78,20
71,images/gen_models/gen_models.045.png,71,45
71,images/gen_models/gen_models.054.png,47,54
71,images/gen_models/gen_models.029.png,51,29
71,images/gen_models/gen_models.051.png,60,51
71,images/gen_models/gen_models.015.png,56,15
71,images/gen_models/gen_models.010.png,17,10
71,images/gen_models/gen_models.032.png,36,32
71,images/gen_models/gen_models.024.png,78,24
71,images/gen_models/gen_models.042.png,25,42
71,images/gen_models/gen_models.019.png,12,19
71,images/gen_models/gen_models.016.png,24,16
71,images/gen_models/gen_models.003.png,88,3
71,images/gen_models/gen_models.027.png,86,27
71,images/gen_models/gen_models.011.png,72,11
71,images/gen_models/gen_models.002.png,68,2
71,images/gen_models/gen_models.014.png,99,14
71,images/gen_models/gen_models.005.png,53,5
71,images/gen_models/gen_models.004.png,62,4
71,images/gen_models/gen_models.023.png,45,23
71,images/gen_models/gen_models.006.png,91,6
71,images/gen_models/gen_models.012.png,30,12
71,images/gen_models/gen_models.034.png,97,34
71,images/gen_models/gen_models.031.png,82,31
71,images/gen_models/gen_models.033.png,80,33
71,images/gen_models/gen_models.035.png,78,35
62,images/gen_models/gen_models.043.png,65,43
62,images/gen_models/gen_models.041.png,48,41
62,images/gen_models/gen_models.027.png,27,27
62,images/gen_models/gen_models.039.png,19,39
62,images/gen_models/gen_models.044.png,1,44
62,images/gen_models/gen_models.013.png,14,13
62,images/gen_models/gen_models.048.png,15,48
62,images/gen_models/gen_models.052.png,22,52
62,images/gen_models/gen_models.006.png,16,6
62,images/gen_models/gen_models.046.png,13,46
62,images/gen_models/gen_models.051.png,20,51
62,images/gen_models/gen_models.030.png,16,30
62,images/gen_models/gen_models.047.png,12,47
62,images/gen_models/gen_models.004.png,17,4
62,images/gen_models/gen_models.034.png,14,34
62,images/gen_models/gen_models.005.png,19,5
62,images/gen_models/gen_models.053.png,13,53
62,images/gen_models/gen_models.012.png,11,12
62,images/gen_models/gen_models.045.png,45,45
62,images/gen_models/gen_models.007.png,20,7
62,images/gen_models/gen_models.020.png,42,20
62,images/gen_models/gen_models.001.png,14,1
62,images/gen_models/gen_models.049.png,17,49
62,images/gen_models/gen_models.019.png,4,19
62,images/gen_models/gen_models.002.png,2,2
62,images/gen_models/gen_models.015.png,1,15
62,images/gen_models/gen_models.026.png,27,26
62,images/gen_models/gen_models.035.png,56,35
62,images/gen_models/gen_models.054.png,22,54
62,images/gen_models/gen_models.033.png,29,33
62,images/gen_models/gen_models.031.png,42,31
62,images/gen_models/gen_models.025.png,64,25
62,images/gen_models/gen_models.009.png,18,9
62,images/gen_models/gen_models.003.png,20,3
62,images/gen_models/gen_models.040.png,0,40
62,images/gen_models/gen_models.023.png,1,23
62,images/gen_models/gen_models.016.png,6,16
62,images/gen_models/gen_models.028.png,7,28
62,images/gen_models/gen_models.024.png,10,24
62,images/gen_models/gen_models.036.png,50,36
62,images/gen_models/gen_models.010.png,18,10
62,images/gen_models/gen_models.032.png,72,32
62,images/gen_models/gen_models.014.png,1,14
62,images/gen_models/gen_models.011.png,45,11
62,images/gen_models/gen_models.042.png,34,42
62,images/gen_models/gen_models.008.png,47,8
62,images/gen_models/gen_models.029.png,1,29
62,images/gen_models/gen_models.050.png,48,50
60,images/gen_models/gen_models.039.png,82,39
60,images/gen_models/gen_models.020.png,84,20
60,images/gen_models/gen_models.036.png,98,36
60,images/gen_models/gen_models.042.png,47,42
60,images/gen_models/gen_models.028.png,64,28
60,images/gen_models/gen_models.019.png,32,19
60,images/gen_models/gen_models.023.png,6,23
60,images/gen_models/gen_models.004.png,8,4
60,images/gen_models/gen_models.011.png,59,11
60,images/gen_models/gen_models.034.png,50,34
60,images/gen_models/gen_models.014.png,28,14
60,images/gen_models/gen_models.008.png,63,8
60,images/gen_models/gen_models.012.png,21,12
60,images/gen_models/gen_models.041.png,68,41
60,images/gen_models/gen_models.048.png,49,48
60,images/gen_models/gen_models.009.png,60,9
60,images/gen_models/gen_models.026.png,67,26
60,images/gen_models/gen_models.053.png,40,53
60,images/gen_models/gen_models.013.png,89,13
60,images/gen_models/gen_models.049.png,57,49
60,images/gen_models/gen_models.050.png,75,50
60,images/gen_models/gen_models.027.png,76,27
60,images/gen_models/gen_models.045.png,76,45
60,images/gen_models/gen_models.001.png,74,1
60,images/gen_models/gen_models.052.png,56,52
60,images/gen_models/gen_models.054.png,72,54
60,images/gen_models/gen_models.015.png,79,15
60,images/gen_models/gen_models.024.png,68,24
60,images/gen_models/gen_models.010.png,52,10
60,images/gen_models/gen_models.016.png,33,16
60,images/gen_models/gen_models.032.png,55,32
60,images/gen_models/gen_models.046.png,17,46
60,images/gen_models/gen_models.005.png,43,5
60,images/gen_models/gen_models.047.png,41,47
60,images/gen_models/gen_models.030.png,43,30
60,images/gen_models/gen_models.007.png,63,7
60,images/gen_models/gen_models.043.png,96,43
60,images/gen_models/gen_models.044.png,50,44
60,images/gen_models/gen_models.029.png,47,29
60,images/gen_models/gen_models.031.png,41,31
60,images/gen_models/gen_models.003.png,81,3
60,images/gen_models/gen_models.035.png,98,35
60,images/gen_models/gen_models.025.png,79,25
60,images/gen_models/gen_models.002.png,45,2
60,images/gen_models/gen_models.006.png,61,6
60,images/gen_models/gen_models.040.png,12,40
60,images/gen_models/gen_models.033.png,58,33
60,images/gen_models/gen_models.051.png,13,51
107,images/gen_models/gen_models.049.png,67,49
107,images/gen_models/gen_models.046.png,3,46
107,images/gen_models/gen_models.025.png,95,25
107,images/gen_models/gen_models.015.png,2,15
107,images/gen_models/gen_models.006.png,76,6
107,images/gen_models/gen_models.011.png,82,11
107,images/gen_models/gen_models.034.png,92,34
107,images/gen_models/gen_models.030.png,60,30
107,images/gen_models/gen_models.050.png,52,50
107,images/gen_models/gen_models.020.png,96,20
107,images/gen_models/gen_models.003.png,97,3
107,images/gen_models/gen_models.039.png,74,39
107,images/gen_models/gen_models.007.png,72,7
