Trial,Judgment
t3_a1b1c2_(0 0 0)_0,0.518333
t3_a1b1c2_(0 0 0)_0,0.21
t3_a1b1c2_(0 0 0)_0,0.633333
t3_a1b1c2_(0 0 0)_0,0.653333
t3_a1b1c2_(0 0 0)_0,0.0
t3_a1b1c2_(0 0 0)_0,0.506667
t3_a1b1c2_(0 0 0)_0,0.633333
t3_a1b1c2_(0 0 0)_0,0.596667
t3_a1b1c2_(0 0 0)_0,0.796667
t3_a1b1c2_(0 0 0)_0,0.893333
t3_a1b1c2_(0 0 0)_0,0.489157
t3_a1b1c2_(0 0 0)_0,0.73
t3_a1b1c2_(0 0 0)_0,0.796667
t3_a1b1c2_(0 0 0)_0,1.0
t3_a1b1c2_(0 0 0)_0,0.54
t3_a1b1c2_(0 0 0)_0,0.556667
t3_a1b1c2_(0 0 0)_0,0.618778
t3_a1b1c2_(0 0 0)_0,0.71
t3_a1b1c2_(0 0 0)_0,0.906667
t3_a1b1c2_(0 0 0)_1,0.538333
t3_a1b1c2_(0 0 0)_1,0.123333
t3_a1b1c2_(0 0 0)_1,0.586667
t3_a1b1c2_(0 0 0)_1,0.703333
t3_a1b1c2_(0 0 0)_1,0.0
t3_a1b1c2_(0 0 0)_1,0.496667
t3_a1b1c2_(0 0 0)_1,0.623333
t3_a1b1c2_(0 0 0)_1,0.593333
t3_a1b1c2_(0 0 0)_1,0.783333
t3_a1b1c2_(0 0 0)_1,0.88
t3_a1b1c2_(0 0 0)_1,0.494915
t3_a1b1c2_(0 0 0)_1,0.706667
t3_a1b1c2_(0 0 0)_1,0.91
t3_a1b1c2_(0 0 0)_1,1.0
t3_a1b1c2_(0 0 0)_1,0.536667
t3_a1b1c2_(0 0 0)_1,0.516667
t3_a1b1c2_(0 0 0)_1,0.568778
t3_a1b1c2_(0 0 0)_1,0.72
t3_a1b1c2_(0 0 0)_1,0.776667
t3_a1b1c2_(0 0 0)_2,0.545
t3_a1b1c2_(0 0 0)_2,0.25
t3_a1b1c2_(0 0 0)_2,0.97
t3_a1b1c2_(0 0 0)_2,0.68
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,0.83
t3_a1b1c2_(0 0 0)_2,0.576667
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,0.89
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,0.946667
t3_a1b1c2_(0 0 0)_2,1.0
t3_a1b1c2_(0 0 0)_2,0.87
t3_a1b1c2_(0 0 0)_2,0.926667
t3_a1b1c2_(0 0 0)_2,0.765444
t3_a1b1c2_(0 0 0)_2,0.493333
t3_a1b1c2_(0 0 0)_2,0.24
t3_a1b1c2_(0 1 0)_0,0.946667
t3_a1b1c2_(0 1 0)_0,0.243333
t3_a1b1c2_(0 1 0)_0,0.0
t3_a1b1c2_(0 1 0)_0,0.373333
t3_a1b1c2_(0 1 0)_0,0.203333
t3_a1b1c2_(0 1 0)_0,0.0
t3_a1b1c2_(0 1 0)_0,0.497222
t3_a1b1c2_(0 1 0)_0,0.0
t3_a1b1c2_(0 1 0)_0,0.22
t3_a1b1c2_(0 1 0)_0,0.495824
t3_a1b1c2_(0 1 0)_0,0.103333
t3_a1b1c2_(0 1 0)_0,0.77
t3_a1b1c2_(0 1 0)_0,0.0
t3_a1b1c2_(0 1 0)_0,0.52
t3_a1b1c2_(0 1 0)_0,0.406667
t3_a1b1c2_(0 1 0)_0,0.758333
t3_a1b1c2_(0 1 0)_0,0.586667
t3_a1b1c2_(0 1 0)_0,0.613333
t3_a1b1c2_(0 1 0)_1,0.103333
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.14
t3_a1b1c2_(0 1 0)_1,0.03
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.0205556
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.16
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.0633333
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.0
t3_a1b1c2_(0 1 0)_1,0.113333
t3_a1b1c2_(0 1 0)_1,0.0933333
t3_a1b1c2_(0 1 0)_1,0.741667
t3_a1b1c2_(0 1 0)_1,0.273333
t3_a1b1c2_(0 1 0)_1,0.586667
t3_a1b1c2_(0 1 0)_2,0.95
t3_a1b1c2_(0 1 0)_2,0.69
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,0.956667
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,0.517222
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,0.686667
t3_a1b1c2_(0 1 0)_2,0.976733
t3_a1b1c2_(0 1 0)_2,0.94
t3_a1b1c2_(0 1 0)_2,0.75
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,0.886667
t3_a1b1c2_(0 1 0)_2,0.893333
t3_a1b1c2_(0 1 0)_2,0.891667
t3_a1b1c2_(0 1 0)_2,1.0
t3_a1b1c2_(0 1 0)_2,0.59
t3_a3b3c3_(1 1 0)_0,0.47
t3_a3b3c3_(1 1 0)_0,0.443333
t3_a3b3c3_(1 1 0)_0,0.626667
t3_a3b3c3_(1 1 0)_0,0.4856
t3_a3b3c3_(1 1 0)_0,0.498333
t3_a3b3c3_(1 1 0)_0,0.55
t3_a3b3c3_(1 1 0)_0,0.38
t3_a3b3c3_(1 1 0)_0,0.456667
t3_a3b3c3_(1 1 0)_0,0.479157
t3_a3b3c3_(1 1 0)_0,0.0233333
t3_a3b3c3_(1 1 0)_0,0.558333
t3_a3b3c3_(1 1 0)_0,0.726667
t3_a3b3c3_(1 1 0)_0,0.601033
t3_a3b3c3_(1 1 0)_0,0.673333
t3_a3b3c3_(1 1 0)_0,0.09
t3_a3b3c3_(1 1 0)_0,0.553333
t3_a3b3c3_(1 1 0)_0,0.756667
t3_a3b3c3_(1 1 0)_0,0.0
t3_a3b3c3_(1 1 0)_0,0.0366667
t3_a3b3c3_(1 1 0)_0,0.638333
t3_a3b3c3_(1 1 0)_1,0.43
t3_a3b3c3_(1 1 0)_1,0.503333
t3_a3b3c3_(1 1 0)_1,0.673333
t3_a3b3c3_(1 1 0)_1,0.548933
t3_a3b3c3_(1 1 0)_1,0.488333
t3_a3b3c3_(1 1 0)_1,0.493333
t3_a3b3c3_(1 1 0)_1,0.39
t3_a3b3c3_(1 1 0)_1,0.73
t3_a3b3c3_(1 1 0)_1,0.488248
t3_a3b3c3_(1 1 0)_1,1.0
t3_a3b3c3_(1 1 0)_1,0.545
